name,market_value_eur,contract_until,tm_photo_url,tm_id,age,foot,height,position,dob
Álvaro García,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/257062-1762775114.jpg,257062.0,33.0,both,1.67,Left Winger,1992-10-27
Carlos Martín,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/618813-1707924109.jpg,618813.0,24.0,right,1.84,Extremo izquierdo,2002-04-22
Jorge de Frutos,12000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/455181-1756820871.jpg,455181.0,29.0,right,1.73,Right Winger,1997-02-20
Ilias Akhomach,12000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/709969-1636472170.jpg,709969.0,,,,,
Fran Pérez,2500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/622988-1683212780.jpg,622988.0,23.0,right,1.76,Right Winger,2002-09-09
Sergio Camello,3000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/505674-1775761676.jpg,505674.0,25.0,right,1.82,Centre-Forward,2001-02-10
Alemão,4000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/560417-1775761327.jpg,560417.0,28.0,right,1.82,Centre-Forward,1998-04-01
Unai Simón,22000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/262396-1709674901.png,262396.0,28.0,right,1.9,Goalkeeper,1997-06-11
Á. Padilla,3000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/834483-1709676711.png,834483.0,22.0,right,1.9,Goalkeeper,2003-09-01
Dani Vivian,20000000.0,2032-06-30,https://img.a.transfermarkt.technology/portrait/big/524000-1709674998.png,524000.0,26.0,right,1.84,Centre-Back,1999-07-05
Aymeric Laporte,8000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/176553-1685546335.jpg,176553.0,32.0,left,1.91,Centre-Back,1994-05-27
Aitor Paredes,7500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/591916-1709675052.png,591916.0,26.0,right,1.85,Centre-Back,2000-04-29
Yeray Álvarez,,,https://img.a.transfermarkt.technology/portrait/big/255488-1709675129.png,255488.0,,,,,
Unai Egiluz,400000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/834485-1709676798.png,834485.0,24.0,right,1.86,Centre-Back,2002-03-19
Adama Boiro,2500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/710671-1709677000.png,710671.0,23.0,left,1.83,Left-Back,2002-06-22
Yuri Berchiche,,,https://img.a.transfermarkt.technology/portrait/big/61812-1709675167.png,61812.0,,,,,
Jesús Areso,5000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/488626-1675800186.jpg,488626.0,26.0,right,1.82,Right-Back,1999-07-02
Andoni Gorosabel,3000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/289255-1739190147.jpeg,289255.0,29.0,right,1.74,Right-Back,1996-08-04
Íñigo Lekue,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/255501-1709675295.png,255501.0,33.0,right,1.8,Right-Back,1993-05-04
Mikel Vesga,1200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/300168-1709675412.png,300168.0,33.0,left,1.91,Defensive Midfield,1993-04-08
Mikel Jauregizar,30000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/938729-1709675994.png,938729.0,22.0,right,1.77,Central Midfield,2003-11-13
Beñat Prados,15000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/625047-1709675858.png,625047.0,25.0,right,1.8,Central Midfield,2001-02-08
Alejandro Rego,5000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/834491-1709677367.png,834491.0,22.0,right,1.92,Central Midfield,2003-06-11
Ibon Sánchez,2800000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1312698-1731353776.png,1312698.0,19.0,right,1.85,Central Midfield,2007-02-20
Íñigo Ruíz de Galarreta,2000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/126751-1709675810.png,126751.0,32.0,right,1.75,Central Midfield,1993-08-06
Oihan Sancet,25000000.0,2032-06-30,https://img.a.transfermarkt.technology/portrait/big/571020-1709676037.png,571020.0,26.0,right,1.88,Attacking Midfield,2000-04-25
Unai Gómez,5000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/834752-1709676122.png,834752.0,23.0,left,1.83,Attacking Midfield,2003-05-25
I. Williams,8000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/255508-1709676323.png,255508.0,31.0,right,1.86,Right Winger,1994-06-15
Alex Berenguer,4000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/338425-1709676212.png,338425.0,30.0,right,1.75,Left Winger,1995-07-04
Nico Serrano,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/668183-1731352737.png,668183.0,23.0,left,1.76,Left Winger,2003-03-05
Robert Navarro,6000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/563137-1567246327.jpg,563137.0,24.0,right,1.78,Right Winger,2002-04-12
Gorka Guruzeta,5000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/340205-1709676375.png,340205.0,29.0,right,1.88,Centre-Forward,1996-09-12
M. Sannadi,3000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1054934-1736857054.jpg,1054934.0,25.0,right,1.92,Centre-Forward,2001-02-01
Urko Izeta,1400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/610622-1709678226.png,610622.0,26.0,right,1.75,Centre-Forward,1999-09-29
Sergio Herrera,2800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/248738-1732220099.jpg,248738.0,33.0,right,1.92,Goalkeeper,1993-06-05
Aitor Fernández,500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/118997-1683281584.jpg,118997.0,35.0,right,1.82,Goalkeeper,1991-05-03
E. Boyomo,15000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/541555-1728038860.jpg,541555.0,24.0,right,1.84,Centre-Back,2001-10-07
Jorge Herrando,3500000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/555500-1732219992.jpg,555500.0,25.0,left,1.92,Centre-Back,2001-02-28
Alejandro Catena,2600000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/449796-1732220159.jpg,449796.0,31.0,right,1.94,Centre-Back,1994-10-28
Abel Bretones,3500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/658115-1690301272.jpg,658115.0,25.0,left,1.88,Left-Back,2000-08-21
Javi Galán,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/448628-1706112804.jpg,448628.0,31.0,left,1.72,Left-Back,1994-11-19
Juan Cruz,2000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/585700-1667290065.jpg,585700.0,26.0,left,1.77,Left Winger,2000-04-25
V. Rosier,3000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/441170-1666619891.png,441170.0,29.0,right,1.75,Right-Back,1996-08-19
Íñigo Arguibide,800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1065442-1700857321.png,1065442.0,21.0,right,1.78,Right-Back,2005-04-19
Lucas Torró,2500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/213670-1732219931.jpg,213670.0,31.0,right,1.9,Defensive Midfield,1994-07-19
Iker Muñoz,30000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/935231-1747037145.jpg,935231.0,22.0,right,1.73,Left Winger,2003-07-13
Jon Moncayola,7000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/552425-1583310847.jpg,552425.0,28.0,right,1.82,Central Midfield,1998-05-13
Asier Osambela,1000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1038512-1700857716.png,1038512.0,21.0,right,1.86,Central Midfield,2004-10-30
Aimar Oroz,7500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/634131-1732220023.jpg,634131.0,24.0,right,1.77,Attacking Midfield,2001-11-27
Moi Gómez,1500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/175449-1664970613.jpg,175449.0,31.0,right,1.76,Attacking Midfield,1994-06-23
Raúl Moro,3500000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/624942-1750837010.jpg,624942.0,23.0,right,1.69,Left Winger,2002-12-05
Jon García,3000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/631002-1614090749.jpg,631002.0,25.0,right,1.92,Centre-Forward,2000-11-03
Kike Barja,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/298575-1583310743.jpg,298575.0,29.0,right,1.79,Right Winger,1997-04-01
Iker Benito,1400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/710679-1732219683.jpg,710679.0,23.0,right,1.76,Right Winger,2002-08-10
A. Budimir,2800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/46413-1732219707.jpg,46413.0,34.0,left,1.9,Centre-Forward,1991-07-22
Juan Soriano,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/251892-1583333927.jpg,251892.0,28.0,right,1.85,Goalkeeper,1997-08-23
Miguel San Román,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/396337-1662569512.png,396337.0,28.0,right,1.89,Goalkeeper,1997-07-14
Lalo Aguilar,900000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/715679-1736375163.jpeg,715679.0,23.0,both,1.88,Centre-Back,2002-06-11
Marvel,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/935229-1672753886.jpg,935229.0,23.0,left,1.84,Centre-Back,2003-01-07
Jorge Sáenz,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/340339-1544697354.jpg,340339.0,29.0,right,1.88,Centre-Back,1996-11-17
Ignasi Miquel,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/70245-1513332415.jpg,70245.0,33.0,left,1.88,Centre-Back,1992-09-28
Rubén Pulido,400000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/603969-1694422933.jpg,603969.0,25.0,right,1.84,Centre-Back,2000-09-02
Enric Franquesa,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/282700-1625480292.jpg,282700.0,29.0,left,1.74,Left-Back,1997-02-26
Rubén Peña,500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/238868-1490952343.jpg,238868.0,34.0,right,1.7,Right-Back,1991-07-18
S. Figueredo,400000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/982540-1716297828.jpg,982540.0,24.0,right,1.79,Right-Back,2001-08-25
Marcos Leiva,,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1365852.jpg,1365852.0,21.0,,1.74,Right-Back,2005-03-26
A. Diawara,700000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/355501-1666809838.jpg,355501.0,28.0,right,1.83,Defensive Midfield,1997-07-17
Carlos Guirao,300000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1054429.jpg,1054429.0,23.0,right,1.75,Defensive Midfield,2003-04-27
S. Cissé,3000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/543537-1698881175.jpg,543537.0,25.0,right,1.77,Central Midfield,2001-02-10
Gonzalo Melero,600000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/162056-1732735437.jpg,162056.0,32.0,right,1.83,Central Midfield,1994-01-02
Roberto López,800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/569866-1568978272.png,569866.0,26.0,left,1.79,Attacking Midfield,2000-04-24
Óscar Plano,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/221309-1541147650.jpg,221309.0,35.0,left,1.8,Attacking Midfield,1991-02-11
Dani Rodríguez,100000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/139435-1583332711.jpg,139435.0,38.0,right,1.78,Attacking Midfield,1988-06-06
Duk,2500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/535959-1681745685.jpg,535959.0,26.0,right,1.82,Left Winger,2000-02-16
Andrés Campos,100000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/709377.jpg,709377.0,24.0,,1.78,Left Winger,2002-05-14
Diego García,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/852727-1701788787.jpg,852727.0,26.0,right,1.86,Centre-Forward,2000-04-18
Luís Asué,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/702911-1729962665.jpg,702911.0,24.0,left,1.88,Centre-Forward,2001-07-09
Álex Millán,600000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/412041.jpg,412041.0,26.0,right,1.82,Centre-Forward,1999-11-07
J. Oblak,15000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/121483-1719350076.jpg,121483.0,33.0,right,1.88,Goalkeeper,1993-01-07
J. Musso,3000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/242359-1663583047.jpg,242359.0,32.0,right,1.93,Goalkeeper,1994-05-06
D. Hancko,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/404418-1722415670.jpg,404418.0,28.0,left,1.88,Centre-Back,1997-12-13
Marc Pubill,35000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/844637-1779789749.jpg,844637.0,22.0,right,1.91,Centre-Back,2003-06-20
Robin Le Normand,20000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/351809-1707948228.jpg,351809.0,29.0,right,1.87,Centre-Back,1996-11-11
J. Giménez,9000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/250845-1664970029.jpg,250845.0,31.0,right,1.86,Centre-Back,1995-01-20
C. Lenglet,4000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/182904-1599988301.jpg,182904.0,30.0,left,1.86,Centre-Back,1995-06-17
M. Ruggeri,28000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/616631-1742497680.jpg,616631.0,23.0,left,1.87,Left-Back,2002-07-11
Marcos Llorente,20000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/282411-1773182531.jpg,282411.0,31.0,right,1.83,Right-Back,1995-01-30
N. Molina,15000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/424042-1697037362.jpg,424042.0,28.0,right,1.79,Right-Back,1998-04-06
Pablo Barrios,55000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/775605-1699431384.jpg,775605.0,22.0,right,1.81,Central Midfield,2003-06-15
Rodrigo Mendoza,20000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/961297-1765462791.jpg,961297.0,21.0,right,1.82,Central Midfield,2005-03-15
J. Cardoso,20000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/689505-1742036970.jpg,689505.0,24.0,right,1.86,Central Midfield,2001-09-20
O. Vargas,10000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/889435-1740863407.jpg,889435.0,20.0,right,1.75,Central Midfield,2005-08-05
Koke,5000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/74229-1664970397.jpg,74229.0,34.0,right,1.76,Central Midfield,1992-01-08
Álex Baena,40000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/548111-1761821030.jpg,548111.0,24.0,right,1.72,Left Winger,2001-07-20
A. Lookman,40000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/406040-1769763751.jpg,406040.0,28.0,right,1.74,Left Winger,1997-10-20
N. González,375000.0,2026-12-31,https://img.a.transfermarkt.technology/portrait/big/659589-1771937390.jpg,659589.0,,,,,
T. Almada,15000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/576028-1773174386.jpg,576028.0,25.0,right,1.71,Left Winger,2001-04-26
G. Simeone,7000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/282388-1690294694.jpg,282388.0,,,,,
A. Griezmann,8000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/125781-1775233998.jpg,125781.0,35.0,left,1.76,Second Striker,1991-03-21
J. Alvarez,100000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/576024-1684920938.jpg,576024.0,26.0,right,1.7,Centre-Forward,2000-01-31
A. Sørloth,18000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/238407-1716403969.jpg,238407.0,30.0,left,1.96,Centre-Forward,1995-12-05
Antonio Sivera,6000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/298197-1713856039.jpg,298197.0,29.0,right,1.85,Goalkeeper,1996-08-11
Raúl Fernández,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/54217-1498749052.jpg,54217.0,38.0,right,1.95,Goalkeeper,1988-03-13
Jon Pacheco,5000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/580560-1631178086.jpg,580560.0,25.0,left,1.84,Centre-Back,2001-01-08
V. Koski,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/581326-1768659999.jpg,581326.0,24.0,right,1.85,Centre-Back,2002-01-27
F. Garcés,0.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/533354-1633539030.JPG,533354.0,26.0,right,1.91,Centre-Back,1999-09-05
Y. Enríquez,4000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/741289-1733863618.jpg,741289.0,20.0,left,1.7,Left-Back,2005-10-07
Víctor Parada,4000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/591957-1664570831.jpg,591957.0,24.0,left,1.85,Left-Back,2002-04-04
N. Tenaglia,3000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/533568-1647530141.jpg,533568.0,30.0,right,1.81,Right-Back,1996-02-21
Jonny Otto,,,https://img.a.transfermarkt.technology/portrait/big/175446-1727967204.png,175446.0,,,,,
Antonio Blanco,10000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/495621-1705337231.jpg,495621.0,25.0,right,1.76,Defensive Midfield,2000-07-23
C. Protesoni,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/431190-1635923163.JPG,431190.0,28.0,right,1.85,Defensive Midfield,1998-03-30
Pablo Ibáñez,4000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/785353-1680676751.jpg,785353.0,27.0,right,1.79,Central Midfield,1998-09-20
Carles Aleñá,3000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/284854-1669364902.jpg,284854.0,28.0,left,1.8,Central Midfield,1998-01-05
Ander Guevara,2500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/465967-1705338008.jpg,465967.0,28.0,right,1.8,Central Midfield,1997-07-07
Jon Guridi,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/289257-1604301765.jpg,289257.0,31.0,left,1.79,Central Midfield,1995-02-28
Calebe,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/798114-1762367600.jpg,798114.0,26.0,left,1.73,Attacking Midfield,2000-04-30
Denis Suárez,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/165007-1687272769.jpg,165007.0,32.0,right,1.76,Attacking Midfield,1994-01-06
A. Rebbach,2500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/718034-1705337308.jpg,718034.0,27.0,right,1.76,Left Winger,1998-08-11
Ángel Pérez,3000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1124136-1757571837.png,1124136.0,23.0,right,1.83,Right Winger,2002-06-08
Toni Martínez,7500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/302371-1606396665.png,302371.0,28.0,right,1.87,Centre-Forward,1997-06-30
L. Boyé,5000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/334222-1734010923.jpg,334222.0,30.0,right,1.83,Centre-Forward,1996-02-28
I. Diabate,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/620696-1755680442.jpg,620696.0,26.0,right,1.85,Centre-Forward,1999-11-17
Aitor Mañas,600000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/935232.jpg,935232.0,23.0,left,1.85,Centre-Forward,2003-01-05
M. Díaz,300000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/225020-1684487196.jpg,225020.0,32.0,right,1.8,Centre-Forward,1993-08-01
Eric García,40000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/466794-1693604801.jpg,466794.0,25.0,right,1.83,Centre-Back,2001-01-09
W. Szczęsny,800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/44058-1744278078.jpg,44058.0,36.0,right,1.95,Goalkeeper,1990-04-18
D. Kochen,500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/938144-1727891789.jpg,938144.0,20.0,right,1.9,Goalkeeper,2006-03-19
Pau Cubarsí,80000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/962110-1712779232.jpg,962110.0,19.0,right,1.83,Centre-Back,2007-01-22
Gerard Martín,35000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/705395-1730119053.jpg,705395.0,24.0,left,1.86,Centre-Back,2002-02-26
R. Araujo,20000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/480267-1736431980.jpg,480267.0,27.0,right,1.85,Centre-Back,1999-03-07
A. Christensen,8000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/196948-1668183241.jpg,196948.0,30.0,right,1.87,Centre-Back,1996-04-10
Alejandro Balde,50000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/636688-1662836200.jpg,636688.0,22.0,left,1.77,Left-Back,2003-10-18
J. Koundé,60000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/411975-1702502639.jpg,411975.0,27.0,right,1.8,Right-Back,1998-11-12
João Cancelo,8000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/182712-1675080937.jpg,182712.0,32.0,right,1.82,Right-Back,1994-05-27
Xavi Espart,5000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1018912-1768246502.jpg,1018912.0,19.0,right,1.75,Right-Back,2007-05-21
Marc Bernal,30000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1018920-1724052540.jpg,1018920.0,19.0,left,1.93,Defensive Midfield,2007-05-26
Marc Casadó,18000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/636695-1729771427.jpg,636695.0,22.0,right,1.72,Defensive Midfield,2003-09-14
Pedri,150000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/683840-1744278342.jpg,683840.0,23.0,right,1.74,Central Midfield,2002-11-25
F. de Jong,35000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/326330-1746041680.jpg,326330.0,29.0,right,1.81,Central Midfield,1997-05-12
Gavi,30000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/646740-1682685701.jpg,646740.0,21.0,right,1.73,Central Midfield,2004-08-05
Fermín López,100000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/636703-1698086824.jpg,636703.0,23.0,right,1.74,Attacking Midfield,2003-05-11
Dani Olmo,60000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/293385-1780663091.jpg,293385.0,28.0,right,1.79,Attacking Midfield,1998-05-07
Raphinha,70000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/411295-1729754479.png,411295.0,29.0,left,1.76,Left Winger,1996-12-14
M. Rashford,40000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/258923-1674473054.jpg,258923.0,28.0,right,1.85,Left Winger,1997-10-31
Lamine Yamal,200000000.0,2031-06-30,https://img.a.transfermarkt.technology/portrait/big/937958-1773173768.jpg,937958.0,18.0,left,1.83,Right Winger,2007-07-13
R. Bardghji,15000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/792331-1667420074.jpg,792331.0,20.0,left,1.73,Right Winger,2005-11-15
Ferran Torres,50000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/398184-1779789996.jpg,398184.0,26.0,right,1.83,Centre-Forward,2000-02-29
R. Lewandowski,7000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/38253-1760445524.jpg,38253.0,37.0,right,1.86,Centre-Forward,1988-08-21
David Soria,2800000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/226012-1696863038.jpg,226012.0,33.0,right,1.92,Goalkeeper,1993-04-04
